Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
0,33.21314102564103,0.0,Dissensus,1,All
30,65.55488782051282,0.0,Dissensus,1,All
60,73.3974358974359,0.0,Dissensus,1,All
90,75.61097756410257,0.0,Dissensus,1,All
120,76.90304487179488,0.0,Dissensus,1,All
150,77.96474358974359,0.0,Dissensus,1,All
180,78.72596153846153,0.0,Dissensus,1,All
210,79.50721153846153,0.0,Dissensus,1,All
240,80.46875,0.0,Dissensus,1,All
270,81.49038461538461,0.0,Dissensus,1,All
300,82.45192307692308,0.0,Dissensus,1,All
330,83.19310897435898,0.0,Dissensus,1,All
360,83.93429487179488,0.0,Dissensus,1,All
390,84.3349358974359,0.0,Dissensus,1,All
420,84.79567307692308,0.0,Dissensus,1,All
450,85.18629807692308,0.0,Dissensus,1,All
480,85.48677884615384,0.0,Dissensus,1,All
510,85.68709935897436,0.0,Dissensus,1,All
540,85.84735576923077,0.0,Dissensus,1,All
570,86.15785256410257,0.0,Dissensus,1,All
600,86.328125,0.0,Dissensus,1,All
630,86.49839743589743,0.0,Dissensus,1,All
660,86.65865384615384,0.0,Dissensus,1,All
690,86.69871794871794,0.0,Dissensus,1,All
720,86.7588141025641,0.0,Dissensus,1,All
750,86.92908653846153,0.0,Dissensus,1,All
780,86.97916666666667,0.0,Dissensus,1,All
810,87.04927884615384,0.0,Dissensus,1,All
840,87.21955128205128,0.0,Dissensus,1,All
870,87.23958333333333,0.0,Dissensus,1,All
900,87.40985576923077,0.0,Dissensus,1,All
930,87.5,0.0,Dissensus,1,All
960,87.5400641025641,0.0,Dissensus,1,All
990,87.6201923076923,0.0,Dissensus,1,All
1020,87.71033653846153,0.0,Dissensus,1,All
1050,87.76041666666667,0.0,Dissensus,1,All
1080,87.79046474358974,0.0,Dissensus,1,All
1110,87.8104967948718,0.0,Dissensus,1,All
1140,87.98076923076923,0.0,Dissensus,1,All
1170,88.06089743589743,0.0,Dissensus,1,All
1200,88.12099358974359,0.0,Dissensus,1,All
1230,88.22115384615384,0.0,Dissensus,1,All
1260,88.19110576923077,0.0,Dissensus,1,All
1290,88.26121794871794,0.0,Dissensus,1,All
1320,88.31129807692308,0.0,Dissensus,1,All
1350,88.39142628205128,0.0,Dissensus,1,All
1380,88.47155448717949,0.0,Dissensus,1,All
1410,88.56169871794872,0.0,Dissensus,1,All
1440,88.58173076923077,0.0,Dissensus,1,All
1470,88.7119391025641,0.0,Dissensus,1,All
0,38.70192307692308,0.0,Dissensus,1,Clique A
30,39.33293269230769,0.0,Dissensus,1,Clique A
60,40.57491987179487,0.0,Dissensus,1,Clique A
90,45.88341346153846,0.0,Dissensus,1,Clique A
120,49.82972756410256,0.0,Dissensus,1,Clique A
150,52.213541666666664,0.0,Dissensus,1,Clique A
180,54.27684294871795,0.0,Dissensus,1,Clique A
210,55.989583333333336,0.0,Dissensus,1,Clique A
240,57.30168269230769,0.0,Dissensus,1,Clique A
270,58.333333333333336,0.0,Dissensus,1,Clique A
300,59.60536858974359,0.0,Dissensus,1,Clique A
330,60.466746794871796,0.0,Dissensus,1,Clique A
360,61.23798076923077,0.0,Dissensus,1,Clique A
390,62.07932692307692,0.0,Dissensus,1,Clique A
420,62.70032051282051,0.0,Dissensus,1,Clique A
450,63.23116987179487,0.0,Dissensus,1,Clique A
480,64.05248397435898,0.0,Dissensus,1,Clique A
510,64.35296474358974,0.0,Dissensus,1,Clique A
540,65.01402243589743,0.0,Dissensus,1,Clique A
570,65.5048076923077,0.0,Dissensus,1,Clique A
600,65.92548076923077,0.0,Dissensus,1,Clique A
630,66.35616987179488,0.0,Dissensus,1,Clique A
660,66.7167467948718,0.0,Dissensus,1,Clique A
690,67.08733974358974,0.0,Dissensus,1,Clique A
720,67.52804487179488,0.0,Dissensus,1,Clique A
750,67.83854166666667,0.0,Dissensus,1,Clique A
780,68.2792467948718,0.0,Dissensus,1,Clique A
810,68.46955128205128,0.0,Dissensus,1,Clique A
840,68.89022435897436,0.0,Dissensus,1,Clique A
870,69.01041666666667,0.0,Dissensus,1,Clique A
900,69.32091346153847,0.0,Dissensus,1,Clique A
930,69.60136217948718,0.0,Dissensus,1,Clique A
960,69.79166666666667,0.0,Dissensus,1,Clique A
990,69.95192307692308,0.0,Dissensus,1,Clique A
1020,70.29246794871794,0.0,Dissensus,1,Clique A
1050,70.52283653846153,0.0,Dissensus,1,Clique A
1080,70.84334935897436,0.0,Dissensus,1,Clique A
1110,71.03365384615384,0.0,Dissensus,1,Clique A
1140,71.24399038461539,0.0,Dissensus,1,Clique A
1170,71.57451923076923,0.0,Dissensus,1,Clique A
1200,71.96514423076923,0.0,Dissensus,1,Clique A
1230,72.17548076923077,0.0,Dissensus,1,Clique A
1260,72.42588141025641,0.0,Dissensus,1,Clique A
1290,72.81650641025641,0.0,Dissensus,1,Clique A
1320,73.19711538461539,0.0,Dissensus,1,Clique A
1350,73.60777243589743,0.0,Dissensus,1,Clique A
1380,73.79807692307692,0.0,Dissensus,1,Clique A
1410,74.14863782051282,0.0,Dissensus,1,Clique A
1440,74.39903846153847,0.0,Dissensus,1,Clique A
1470,74.62940705128206,0.0,Dissensus,1,Clique A
0,33.93429487179487,0.0,Dissensus,1,Clique B
30,35.81730769230769,0.0,Dissensus,1,Clique B
60,40.334535256410255,0.0,Dissensus,1,Clique B
90,42.78846153846154,0.0,Dissensus,1,Clique B
120,47.19551282051282,0.0,Dissensus,1,Clique B
150,50.0,0.0,Dissensus,1,Clique B
180,51.26201923076923,0.0,Dissensus,1,Clique B
210,52.14342948717949,0.0,Dissensus,1,Clique B
240,52.75440705128205,0.0,Dissensus,1,Clique B
270,53.625801282051285,0.0,Dissensus,1,Clique B
300,54.3369391025641,0.0,Dissensus,1,Clique B
330,55.02804487179487,0.0,Dissensus,1,Clique B
360,55.53886217948718,0.0,Dissensus,1,Clique B
390,56.149839743589745,0.0,Dissensus,1,Clique B
420,56.52043269230769,0.0,Dissensus,1,Clique B
450,57.00120192307692,0.0,Dissensus,1,Clique B
480,57.26161858974359,0.0,Dissensus,1,Clique B
510,57.78245192307692,0.0,Dissensus,1,Clique B
540,58.17307692307692,0.0,Dissensus,1,Clique B
570,58.58373397435897,0.0,Dissensus,1,Clique B
600,58.99439102564103,0.0,Dissensus,1,Clique B
630,59.4150641025641,0.0,Dissensus,1,Clique B
660,59.90584935897436,0.0,Dissensus,1,Clique B
690,60.416666666666664,0.0,Dissensus,1,Clique B
720,60.81730769230769,0.0,Dissensus,1,Clique B
750,61.18790064102564,0.0,Dissensus,1,Clique B
780,61.72876602564103,0.0,Dissensus,1,Clique B
810,62.11939102564103,0.0,Dissensus,1,Clique B
840,62.53004807692308,0.0,Dissensus,1,Clique B
870,62.92067307692308,0.0,Dissensus,1,Clique B
900,63.381410256410255,0.0,Dissensus,1,Clique B
930,63.79206730769231,0.0,Dissensus,1,Clique B
960,64.24278846153847,0.0,Dissensus,1,Clique B
990,64.65344551282051,0.0,Dissensus,1,Clique B
1020,64.94391025641026,0.0,Dissensus,1,Clique B
1050,65.24439102564102,0.0,Dissensus,1,Clique B
1080,65.48477564102564,0.0,Dissensus,1,Clique B
1110,65.71514423076923,0.0,Dissensus,1,Clique B
1140,66.08573717948718,0.0,Dissensus,1,Clique B
1170,66.15584935897436,0.0,Dissensus,1,Clique B
1200,66.51642628205128,0.0,Dissensus,1,Clique B
1230,66.72676282051282,0.0,Dissensus,1,Clique B
1260,66.93709935897436,0.0,Dissensus,1,Clique B
1290,67.09735576923077,0.0,Dissensus,1,Clique B
1320,67.31770833333333,0.0,Dissensus,1,Clique B
1350,67.50801282051282,0.0,Dissensus,1,Clique B
1380,67.76842948717949,0.0,Dissensus,1,Clique B
1410,68.0088141025641,0.0,Dissensus,1,Clique B
1440,68.2391826923077,0.0,Dissensus,1,Clique B
1470,68.51963141025641,0.0,Dissensus,1,Clique B
0,35.256410256410255,0.0625,Dissensus,1,All
30,56.02964743589744,0.0625,Dissensus,1,All
60,67.32772435897436,0.0625,Dissensus,1,All
90,70.73317307692308,0.0625,Dissensus,1,All
120,73.02684294871794,0.0625,Dissensus,1,All
150,74.81971153846153,0.0625,Dissensus,1,All
180,76.00160256410257,0.0625,Dissensus,1,All
210,76.43229166666667,0.0625,Dissensus,1,All
240,76.78285256410257,0.0625,Dissensus,1,All
270,76.88301282051282,0.0625,Dissensus,1,All
300,77.11338141025641,0.0625,Dissensus,1,All
330,77.08333333333333,0.0625,Dissensus,1,All
360,77.11338141025641,0.0625,Dissensus,1,All
390,77.3036858974359,0.0625,Dissensus,1,All
420,77.4238782051282,0.0625,Dissensus,1,All
450,77.41386217948718,0.0625,Dissensus,1,All
480,77.36378205128206,0.0625,Dissensus,1,All
510,77.41386217948718,0.0625,Dissensus,1,All
540,77.39383012820512,0.0625,Dissensus,1,All
570,77.47395833333333,0.0625,Dissensus,1,All
600,77.4238782051282,0.0625,Dissensus,1,All
630,77.4639423076923,0.0625,Dissensus,1,All
660,77.40384615384616,0.0625,Dissensus,1,All
690,77.45392628205128,0.0625,Dissensus,1,All
720,77.4639423076923,0.0625,Dissensus,1,All
750,77.4639423076923,0.0625,Dissensus,1,All
780,77.53405448717949,0.0625,Dissensus,1,All
810,77.49399038461539,0.0625,Dissensus,1,All
840,77.4639423076923,0.0625,Dissensus,1,All
870,77.50400641025641,0.0625,Dissensus,1,All
900,77.54407051282051,0.0625,Dissensus,1,All
930,77.54407051282051,0.0625,Dissensus,1,All
960,77.55408653846153,0.0625,Dissensus,1,All
990,77.57411858974359,0.0625,Dissensus,1,All
1020,77.53405448717949,0.0625,Dissensus,1,All
1050,77.52403846153847,0.0625,Dissensus,1,All
1080,77.55408653846153,0.0625,Dissensus,1,All
1110,77.54407051282051,0.0625,Dissensus,1,All
1140,77.56410256410257,0.0625,Dissensus,1,All
1170,77.57411858974359,0.0625,Dissensus,1,All
1200,77.54407051282051,0.0625,Dissensus,1,All
1230,77.54407051282051,0.0625,Dissensus,1,All
1260,77.53405448717949,0.0625,Dissensus,1,All
1290,77.55408653846153,0.0625,Dissensus,1,All
1320,77.57411858974359,0.0625,Dissensus,1,All
1350,77.54407051282051,0.0625,Dissensus,1,All
1380,77.59415064102564,0.0625,Dissensus,1,All
1410,77.56410256410257,0.0625,Dissensus,1,All
1440,77.6141826923077,0.0625,Dissensus,1,All
1470,77.60416666666667,0.0625,Dissensus,1,All
0,38.51161858974359,0.0625,Dissensus,1,Clique A
30,39.322916666666664,0.0625,Dissensus,1,Clique A
60,39.89383012820513,0.0625,Dissensus,1,Clique A
90,43.30929487179487,0.0625,Dissensus,1,Clique A
120,47.46594551282051,0.0625,Dissensus,1,Clique A
150,49.39903846153846,0.0625,Dissensus,1,Clique A
180,50.881410256410255,0.0625,Dissensus,1,Clique A
210,51.51241987179487,0.0625,Dissensus,1,Clique A
240,51.953125,0.0625,Dissensus,1,Clique A
270,52.36378205128205,0.0625,Dissensus,1,Clique A
300,52.76442307692308,0.0625,Dissensus,1,Clique A
330,52.93469551282051,0.0625,Dissensus,1,Clique A
360,53.13501602564103,0.0625,Dissensus,1,Clique A
390,53.35536858974359,0.0625,Dissensus,1,Clique A
420,53.49559294871795,0.0625,Dissensus,1,Clique A
450,53.58573717948718,0.0625,Dissensus,1,Clique A
480,53.69591346153846,0.0625,Dissensus,1,Clique A
510,53.69591346153846,0.0625,Dissensus,1,Clique A
540,53.776041666666664,0.0625,Dissensus,1,Clique A
570,53.83613782051282,0.0625,Dissensus,1,Clique A
600,53.9463141025641,0.0625,Dissensus,1,Clique A
630,53.9463141025641,0.0625,Dissensus,1,Clique A
660,53.93629807692308,0.0625,Dissensus,1,Clique A
690,53.93629807692308,0.0625,Dissensus,1,Clique A
720,53.95633012820513,0.0625,Dissensus,1,Clique A
750,53.92628205128205,0.0625,Dissensus,1,Clique A
780,54.036458333333336,0.0625,Dissensus,1,Clique A
810,54.036458333333336,0.0625,Dissensus,1,Clique A
840,54.036458333333336,0.0625,Dissensus,1,Clique A
870,54.05649038461539,0.0625,Dissensus,1,Clique A
900,54.06650641025641,0.0625,Dissensus,1,Clique A
930,54.05649038461539,0.0625,Dissensus,1,Clique A
960,54.06650641025641,0.0625,Dissensus,1,Clique A
990,54.10657051282051,0.0625,Dissensus,1,Clique A
1020,54.13661858974359,0.0625,Dissensus,1,Clique A
1050,54.14663461538461,0.0625,Dissensus,1,Clique A
1080,54.12660256410256,0.0625,Dissensus,1,Clique A
1110,54.20673076923077,0.0625,Dissensus,1,Clique A
1140,54.17668269230769,0.0625,Dissensus,1,Clique A
1170,54.186698717948715,0.0625,Dissensus,1,Clique A
1200,54.22676282051282,0.0625,Dissensus,1,Clique A
1230,54.26682692307692,0.0625,Dissensus,1,Clique A
1260,54.296875,0.0625,Dissensus,1,Clique A
1290,54.26682692307692,0.0625,Dissensus,1,Clique A
1320,54.28685897435897,0.0625,Dissensus,1,Clique A
1350,54.28685897435897,0.0625,Dissensus,1,Clique A
1380,54.32692307692308,0.0625,Dissensus,1,Clique A
1410,54.28685897435897,0.0625,Dissensus,1,Clique A
1440,54.27684294871795,0.0625,Dissensus,1,Clique A
1470,54.31690705128205,0.0625,Dissensus,1,Clique A
0,33.75400641025641,0.0625,Dissensus,1,Clique B
30,35.86738782051282,0.0625,Dissensus,1,Clique B
60,40.104166666666664,0.0625,Dissensus,1,Clique B
90,41.84695512820513,0.0625,Dissensus,1,Clique B
120,42.42788461538461,0.0625,Dissensus,1,Clique B
150,42.66826923076923,0.0625,Dissensus,1,Clique B
180,42.75841346153846,0.0625,Dissensus,1,Clique B
210,43.01883012820513,0.0625,Dissensus,1,Clique B
240,43.16907051282051,0.0625,Dissensus,1,Clique B
270,43.32932692307692,0.0625,Dissensus,1,Clique B
300,43.49959935897436,0.0625,Dissensus,1,Clique B
330,43.67988782051282,0.0625,Dissensus,1,Clique B
360,43.830128205128204,0.0625,Dissensus,1,Clique B
390,43.97035256410256,0.0625,Dissensus,1,Clique B
420,44.1005608974359,0.0625,Dissensus,1,Clique B
450,44.21073717948718,0.0625,Dissensus,1,Clique B
480,44.250801282051285,0.0625,Dissensus,1,Clique B
510,44.34094551282051,0.0625,Dissensus,1,Clique B
540,44.36097756410256,0.0625,Dissensus,1,Clique B
570,44.41105769230769,0.0625,Dissensus,1,Clique B
600,44.39102564102564,0.0625,Dissensus,1,Clique B
630,44.451121794871796,0.0625,Dissensus,1,Clique B
660,44.421073717948715,0.0625,Dissensus,1,Clique B
690,44.421073717948715,0.0625,Dissensus,1,Clique B
720,44.421073717948715,0.0625,Dissensus,1,Clique B
750,44.401041666666664,0.0625,Dissensus,1,Clique B
780,44.44110576923077,0.0625,Dissensus,1,Clique B
810,44.431089743589745,0.0625,Dissensus,1,Clique B
840,44.4911858974359,0.0625,Dissensus,1,Clique B
870,44.48116987179487,0.0625,Dissensus,1,Clique B
900,44.51121794871795,0.0625,Dissensus,1,Clique B
930,44.48116987179487,0.0625,Dissensus,1,Clique B
960,44.50120192307692,0.0625,Dissensus,1,Clique B
990,44.59134615384615,0.0625,Dissensus,1,Clique B
1020,44.56129807692308,0.0625,Dissensus,1,Clique B
1050,44.5713141025641,0.0625,Dissensus,1,Clique B
1080,44.60136217948718,0.0625,Dissensus,1,Clique B
1110,44.59134615384615,0.0625,Dissensus,1,Clique B
1140,44.59134615384615,0.0625,Dissensus,1,Clique B
1170,44.60136217948718,0.0625,Dissensus,1,Clique B
1200,44.611378205128204,0.0625,Dissensus,1,Clique B
1230,44.59134615384615,0.0625,Dissensus,1,Clique B
1260,44.58133012820513,0.0625,Dissensus,1,Clique B
1290,44.60136217948718,0.0625,Dissensus,1,Clique B
1320,44.60136217948718,0.0625,Dissensus,1,Clique B
1350,44.611378205128204,0.0625,Dissensus,1,Clique B
1380,44.59134615384615,0.0625,Dissensus,1,Clique B
1410,44.611378205128204,0.0625,Dissensus,1,Clique B
1440,44.60136217948718,0.0625,Dissensus,1,Clique B
1470,44.641426282051285,0.0625,Dissensus,1,Clique B
0,10.086137820512821,0.125,Dissensus,1,All
30,22.435897435897434,0.125,Dissensus,1,All
60,31.27003205128205,0.125,Dissensus,1,All
90,34.53525641025641,0.125,Dissensus,1,All
120,37.28966346153846,0.125,Dissensus,1,All
150,39.0224358974359,0.125,Dissensus,1,All
180,40.04407051282051,0.125,Dissensus,1,All
210,40.79527243589744,0.125,Dissensus,1,All
240,41.4463141025641,0.125,Dissensus,1,All
270,41.84695512820513,0.125,Dissensus,1,All
300,42.21754807692308,0.125,Dissensus,1,All
330,42.41786858974359,0.125,Dissensus,1,All
360,42.64823717948718,0.125,Dissensus,1,All
390,42.868589743589745,0.125,Dissensus,1,All
420,43.10897435897436,0.125,Dissensus,1,All
450,43.36939102564103,0.125,Dissensus,1,All
480,43.41947115384615,0.125,Dissensus,1,All
510,43.439503205128204,0.125,Dissensus,1,All
540,43.489583333333336,0.125,Dissensus,1,All
570,43.50961538461539,0.125,Dissensus,1,All
600,43.51963141025641,0.125,Dissensus,1,All
630,43.53966346153846,0.125,Dissensus,1,All
660,43.619791666666664,0.125,Dissensus,1,All
690,43.62980769230769,0.125,Dissensus,1,All
720,43.639823717948715,0.125,Dissensus,1,All
750,43.68990384615385,0.125,Dissensus,1,All
780,43.75,0.125,Dissensus,1,All
810,43.73998397435897,0.125,Dissensus,1,All
840,43.80008012820513,0.125,Dissensus,1,All
870,43.94030448717949,0.125,Dissensus,1,All
900,43.93028846153846,0.125,Dissensus,1,All
930,44.07051282051282,0.125,Dissensus,1,All
960,44.20072115384615,0.125,Dissensus,1,All
990,44.23076923076923,0.125,Dissensus,1,All
1020,44.29086538461539,0.125,Dissensus,1,All
1050,44.44110576923077,0.125,Dissensus,1,All
1080,44.51121794871795,0.125,Dissensus,1,All
1110,44.71153846153846,0.125,Dissensus,1,All
1140,44.69150641025641,0.125,Dissensus,1,All
1170,44.791666666666664,0.125,Dissensus,1,All
1200,44.841746794871796,0.125,Dissensus,1,All
1230,44.94190705128205,0.125,Dissensus,1,All
1260,44.8818108974359,0.125,Dissensus,1,All
1290,45.04206730769231,0.125,Dissensus,1,All
1320,45.13221153846154,0.125,Dissensus,1,All
1350,45.25240384615385,0.125,Dissensus,1,All
1380,45.30248397435897,0.125,Dissensus,1,All
1410,45.3125,0.125,Dissensus,1,All
1440,45.392628205128204,0.125,Dissensus,1,All
1470,45.49278846153846,0.125,Dissensus,1,All
0,38.55168269230769,0.125,Dissensus,1,Clique A
30,39.26282051282051,0.125,Dissensus,1,Clique A
60,40.1943108974359,0.125,Dissensus,1,Clique A
90,43.669871794871796,0.125,Dissensus,1,Clique A
120,45.442708333333336,0.125,Dissensus,1,Clique A
150,46.30408653846154,0.125,Dissensus,1,Clique A
180,46.774839743589745,0.125,Dissensus,1,Clique A
210,47.005208333333336,0.125,Dissensus,1,Clique A
240,47.135416666666664,0.125,Dissensus,1,Clique A
270,47.19551282051282,0.125,Dissensus,1,Clique A
300,47.345753205128204,0.125,Dissensus,1,Clique A
330,47.43589743589744,0.125,Dissensus,1,Clique A
360,47.546073717948715,0.125,Dissensus,1,Clique A
390,47.67628205128205,0.125,Dissensus,1,Clique A
420,47.67628205128205,0.125,Dissensus,1,Clique A
450,47.756410256410255,0.125,Dissensus,1,Clique A
480,47.77644230769231,0.125,Dissensus,1,Clique A
510,47.756410256410255,0.125,Dissensus,1,Clique A
540,47.786458333333336,0.125,Dissensus,1,Clique A
570,47.77644230769231,0.125,Dissensus,1,Clique A
600,47.786458333333336,0.125,Dissensus,1,Clique A
630,47.83653846153846,0.125,Dissensus,1,Clique A
660,47.86658653846154,0.125,Dissensus,1,Clique A
690,47.89663461538461,0.125,Dissensus,1,Clique A
720,47.92668269230769,0.125,Dissensus,1,Clique A
750,47.946714743589745,0.125,Dissensus,1,Clique A
780,47.95673076923077,0.125,Dissensus,1,Clique A
810,47.946714743589745,0.125,Dissensus,1,Clique A
840,47.936698717948715,0.125,Dissensus,1,Clique A
